"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","IOUT (mA)","VIN MIN.  (V)","VIN  MAX.  (V)","IQ  (µA)","Acc","Vdrop  (mV)","VOUT  1.2V","VOUT  1.5V","VOUT   1.8V","VOUT  2.0V","VOUT  2.5V","VOUT  2.7V","VOUT  2.85V","VOUT  2.8V","VOUT  3.0V","VOUT  3.3V","VOUT  3.5V","VOUT  5.0V","VOUT  Adj."
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302AT5","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302AT5/TR","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302AT5-L","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302AT5-L/TR","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302AU5-L","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302T5","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302T5/TR","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302T5-L","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302T5-L/TR","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
"exar","Power Management-Power Conversion-LDOs and Regulators-Linear LDOs","SPX29302","SPX29302U5","http://www.exar.com/common/content/document.ashx?id=1328&languageid=1033&type=datasheet&part=spx29302","http://www.exar.com/power-management/power-conversion/ldos-and-regulators/linear-ldos/spx29302/","3A High Current, Low Dropout Voltage Regulator","3000","2.8","16","37000","1%","600","-","-","-","-","-","-","-","-","-","-","-","-","▪"
